ID,Contents,Result
60,"I think this is some good new for Humanity, on par with the 70's Asilomar Conference, where scientists, ethicists, philosophers and civic leaders came together to decide how safely steward genetic engineeringtechnology. https://t.co/mpRiOEjKKj",1
61,"Jiankui made a disastrous mistake, subjecting two new people to grave risks. The condemnation is appropriate, but more is necessary: We need a temporary moratorium on using gene editing to create babies. https://t.co/GjZ5l5mKjk great piece @pknoepfler",1
62,"https://t.co/Elp4QXydqu On the one hand, the international outcry and subsequent walk... https://t.co/Elp4QXydqu",1
63,"RT jacobinmag: For the first time in human history, we have the tools to reprogram life itself. That could be a recipe for dystopia — unless we create a scientific commons that values the public good rather than profits. https://t.co/Tbft8BrgU0",1
64,RT @NIHDirector: The work of Dr. He Jiankui presented at #GeneEditSummit is profoundly disturbing & tramples on ethical norms. We need to develop binding international consensus on limits for this research. #NIH does not support the use of gene-editing in human embryos https://t.co/6DcvuEyOkB,0
65,"@PraveenMohanET Yazhi...the Old Tiger...Puzhi... Maybe also known as Dragon But Converted into other animals Horse,Lion, Elephant and Ox Our National emblem With water Fountain from Mouth A Sign of Dispersion like Water To the Four Corners of the world Genetic engineering due to Size etc https://t.co/0gxMkh5cR5",1
66,"RT @seasonalight: Important discussion! The compulsion by some scientists (& funders) to push these boundaries on behalf of ALL LIFE without consent, is worthy of our attention. Geo AND genetic engineering, alike. #Anthropocene #symbioethics https://t.co/FG0JKDgSdp",1
67,"RT @UrnovFyodor: Two parents homozygous for ApoE4 want to do base editing of sperm given AD risk to child. Here is the clinical trial: 1/1/2020: edit sperm, fertilize. 10/1/2020: edited baby born. 1/1/2090: we see if it worked. Not being a luddite, just pragmatic. https://t.co/3pOvW5Cywj",1
68,"RT @WIREDScience: A national rebranding campaign is underway. ""Made in China,"" a label associated with cheap knock-offs and stolen intellectual property, is being replaced with ""Created in China."" The gene-editing field is a prime example of how this dynamic is playing out. https://t.co/RkX7yc8Nfu",1
69,IRBs are garbage. No such thing as ethics. smh. He used the CRISPR gene editing tool and acted as a lobe entity on such a complex issue.,0
70,"RT @hobbet: Appreciated hearing from Stanford’s Bill Hurlbut on the ethics of gene editing on ?@NPR? this morning. For more on his perspective, see the recent @Veritas talk: Drawing the Line | The Ethics of Gene Editing - The Veritas Forum - The Veritas Forum https://t.co/Jgv6wEqS2F",1
71,China scientist defends gene-editing babies as trial paused - https://t.co/J9YjcyrYA4,1
72,Genetically Modified People Are Walking Among Us https://t.co/ZGgMRYVn4e,1
73,IPR Gets a Hands-On Look at Gene-Editing Tool CRISPR https://t.co/Wpa05ByplZ @AgAmyInAmes,1
74,@NatureNews Of course it does. But we can also predict that human gene editing will be a widely accepted procedure 10 or so years from now.,1
75,We are passionate about our research and the technology we're using to perform it - especially when it comes to gene editing. #celltherapy #geneediting,1
76,"Our present technological paradox: even as #AI and gene-editing promise the possibility of radical cognitive and biological enhancement, these same technologies also undermine the human distinctiveness of qualities Westerners have considered definitional of the human. (Mark 8:36)",1
77,"Another Week Ends: Gene Editing, Political Cults, Ultrarich Scorekeeping, Medical Forgiveness, Depressed Scientists, $25 Naps, and John the Baptist https://t.co/zWrWkmF4fy via @mockingbirdmin",0
78,Gene-Editing Success Brings Pig-to-Human Transplants Closer to Reality https://t.co/TriQu62sw6,1
79,"Heard #GMOs are bad for the planet? Get the facts on the environmental impact of genetic engineering from @GMOAnswers expert Dr. Elizabeth Hood, PhD. https://t.co/Yxn7zjmWQS",1
80,"@LaTrioli @MarieCo92176893 This is frightening, Virginia. We are at risk of gene editing ourselves out of existence.",0
81,"Phew, reading up on that whole gene editing craziness in China.",1
82,The ethics of gene editing is such an interesting topic to discuss.,1
83,"On the topic of gene editing, does this open up a Tony Stark scenario? Where a doctor could be kidnapped and forced to edit genes to create ‘designer’ babies? This thought came up befause the Doctor has been found missing at the moment.",0
84,RT @TheEconomist: The era of human gene-editing may have begun. Why that is worrying https://t.co/CK7MYQDxay,0
85,Scientific American reports there has been a breakthru in cross-species transplantation of hearts.A pig's was implanted in a baboon&after++ failures&innovations like gene editing it worked for as long as 180 days. It's not science fiction.,1
86,CRISPR/Cas9: a gene-editing tool with promise and peril https://t.co/HEiKdzU0z0,1
87,"According to the USDA, certified #organic food is produced w/o conventional pesticides, petroleum-based fertilizers, sewage-sludge-based fertilizers, herbicides, genetic engineering (biotechnology), antibiotics, growth hormones, or irradiation. Learn more: https://t.co/kON7oI6si5 https://t.co/weCxgc1Lxh",1
88,People who are against Gene editing to remove mental disorders or other forms of genetically-related diseases don’t understand the pain that comes from them. One of the major reasons I don’t want to have a child is because I don’t want to pass down my mental illness.,0
89,The whole recent gene editing stuff triggers me aha,1
90,Why Scientists Are So Upset About the First Crispr Babies. https://t.co/BXZyIiPaLo,0
91,"RT @NewYorker: The Chinese scientist He Jiankui claims he helped make the world’s first genetically edited babies—something the entire gene-editing community, including the university where he works, has condemned. https://t.co/Z2R2Zh426a",1
92,@wishiwasthereMF @SCHM7DT Exactly. It’s an unfortunate backward step in evolution. Probably won’t change till we integrate our brains with AI or the masses gets access to gene editing which isn’t likely.,0
93,"Even though the world at large is going to ban gene editing babies it's gonna happen. At some future time there's gonna be Russian superbeings at the Olympics. They can't keep their hands off testable drugenhancement, you think they'll be able to pass up superbeings? Please.",1
94,"#UTSASSITN https://t.co/CsnicYMe5b To a 11th grade US history class ""How does Gene editing relate to Eugenics and/or Social Darwinism?"" and ""Do you think Gene editing should even be used to cure diseases? Is there a 'slippery slope?""",0
95,"@PhillyD So the complexity of gene editing makes it very difficult to be responsible with the tech. One example is the admirable goal of curing Huntington’s...if you remove the defective gene you see horrible sideeffects, because genes are not just used in single tasks.",0
96,RT @BryanVision: @ScottAdamsSays @lbwhiteca_bruce @businessinsider There are 100s that no economist can predict. Which model includes the next major natural disaster? The next major war? The effects of immigration? Cryptocurrency? Neural-link? Genetic engineering? Lab Grown meat? Can we really say anything about the economy in 10 years?,0
97,With human genetic engineering and near human robotic technology coming along soon. Our society will reflect little of today's standards & morals. The scope of socially acceptable will widen to the point where people will long for the simple days of the simple 250lb Tranny. https://t.co/3ag2dz7xvh,1
98,Should our children be genetically engineered?: Call for ban on germline genetic engineering of human beings B.. https://t.co/khqiP5oTtF,1
99,newscientist: Genetic disorders should be the focus of CRISPR gene editing trials https://t.co/Mp0I01J7iV https://t.co/HiGxzvGhFA,1
